,rain_sum,temperature_2m_mean,city,,,,,,,,,,
54520,6.6,27.3,Galle,,,,,,,,,,
54521,2.3,26.9,Galle,,,,,,,,,,
54522,5.3,26.9,Galle,,,,,,,,,,
54523,3.9,26.8,Galle,,,,,,,,,,
54524,1.6,27.2,Galle,,,,,,,,,,
54525,2.1,27.2,Galle,,,,,,,,,,
54526,2.4,27.4,Galle,,,,,,,,,,
54527,3.2,27.1,Galle,,,,,,,,,,
54528,9,27,Galle,,,,,,,,,,
54529,2,26.6,Galle,,,,,,,,,,
54530,2.4,27.1,Galle,,,,,,,,,,
54531,1.8,27.7,Galle,,,,,,,,,,
54532,1.4,27.8,Galle,,,,,,,,,,
54533,1.2,27.7,Galle,,,,,,,,,,
54534,1.4,27.5,Galle,,,,,,,,,,
54535,1.1,26.8,Galle,,,,,,,,,,
54536,3.1,26.9,Galle,,,,,,,,,,
54537,2.2,27.3,Galle,,,,,,,,,,
54538,1.7,27.4,Galle,,,,,,,,,,
54539,1.7,27.1,Galle,,,,,,,,,,
54540,0.5,28.1,Galle,,,,,,,,,,
54541,15.7,27,Galle,,,,,,,,,,
54542,12.1,26,Galle,,,,,,,,,,
54543,19.4,26.6,Galle,,,,,,,,,,
54544,6.6,26.7,Galle,,,,,,,,,,
54545,8.6,27.2,Galle,,,,,,,,,,
54546,5.4,27.1,Galle,,,,,,,,,,
54547,7.9,27,Galle,,,,,,,,,,
54548,16.7,26.6,Galle,,,,,,,,,,
54549,11.5,26.5,Galle,,,,,,,,,,
54550,3.1,27.1,Galle,,,,,,,,,,
54551,5.4,26.8,Galle,,,,,,,,,,
54552,11.5,27,Galle,,,,,,,,,,
54553,25.1,26.1,Galle,,,,,,,,,,
54554,9.2,27.4,Galle,,,,,,,,,,
54555,14.3,26.5,Galle,,,,,,,,,,
54556,4.2,27.3,Galle,,,,,,,,,,
54557,3.1,27,Galle,,,,,,,,,,
54558,9.7,26.3,Galle,,,,,,,,,,
54559,2.8,28.2,Galle,,,,,,,,,,
54560,4.8,27.6,Galle,,,,,,,,,,
54561,5.6,27.3,Galle,,,,,,,,,,
54562,0.3,28,Galle,,,,,,,,,,
54563,0.2,28.6,Galle,,,,,,,,,,
54564,0.9,28.3,Galle,,,,,,,,,,
54565,7.1,28.2,Galle,,,,,,,,,,
54566,2.4,28.3,Galle,,,,,,,,,,
54567,2.1,28.3,Galle,,,,,,,,,,
54568,4.5,28.1,Galle,,,,,,,,,,
54569,4.3,27.1,Galle,,,,,,,,,,
54570,2.7,27.3,Galle,,,,,,,,,,
54571,1.9,28,Galle,,,,,,,,,,
54572,8,27.7,Galle,,,,,,,,,,
54573,1,28.2,Galle,,,,,,,,,,
54574,2.4,27.8,Galle,,,,,,,,,,
54575,2.8,27.5,Galle,,,,,,,,,,
54576,1.5,27.9,Galle,,,,,,,,,,
54577,3.5,26.9,Galle,,,,,,,,,,
54578,0.7,27.4,Galle,,,,,,,,,,
